Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Location,Ad Schedule,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Crane & Rigging,,,,,,,,jobs,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,job,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,salary,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,hiring,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,careers,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,resume,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,apprenticeship,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,training,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,school,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,course,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,courses,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,certification,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,certified,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,class,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,classes,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,how to become,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,for sale,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,rental,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,rent,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,buy,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,used,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,price list,Negative Broad,,,,,,,,,,,,,,,,,,,,,,,
