Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Location,Ad Schedule,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Crane & Rigging,,,,,,,,,,Houston TX,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Chicago IL,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Detroit MI,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Dallas TX,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Atlanta GA,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Cleveland OH,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Charlotte NC,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Indianapolis IN,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Columbus OH,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Milwaukee WI,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Nashville TN,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Pittsburgh PA,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Phoenix AZ,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Kansas City MO,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,St. Louis MO,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Denver CO,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Minneapolis MN,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Louisville KY,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,San Antonio TX,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,Memphis TN,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,,Monday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,,Tuesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,,Wednesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,,Thursday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,,,,,,,,Friday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Houston TX,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Chicago IL,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Detroit MI,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Dallas TX,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Atlanta GA,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Cleveland OH,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Charlotte NC,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Indianapolis IN,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Columbus OH,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Milwaukee WI,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Nashville TN,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Pittsburgh PA,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Phoenix AZ,,,,,,,,,,,,,,,,,,,,,,
