Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Location,Ad Schedule,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Crane & Rigging,Search,10.00,Manual CPC,Paused,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,4.00,,,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane and rigging services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane and rigging,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane rigging company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane rental with operator,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane service with operator,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,critical lift planning,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,set in place services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,rooftop unit crane lift,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,industrial crane services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
Crane & Rigging,,,,Enabled,,Crane & Rigging Services,,crane and rigging contractors,Phrase,,,,,,,,,,,,,,,,,,,,,,,
